# Species	Genes	Alg.-Conn.	E_billingiae_protein.faa	E_gerundensis_protein.faa	E_persicina_protein.faa	E_pyrifoliae_protein.faa	E_tasmaniensis_protein.faa
5	5	0.95	WP_013204100.1	WP_187485730.1	WP_118665385.1	WP_012666651.1	WP_012440019.1
5	5	0.932	WP_013204099.1	WP_067427406.1	WP_062744525.1	WP_012666652.1	WP_012440020.1
5	5	0.963	WP_013204097.1	WP_067427408.1	WP_062744524.1	WP_012666653.1	WP_012440021.1
4	4	0.929	*	WP_067435074.1	WP_118665387.1	WP_104945204.1	WP_012440038.1
5	5	0.939	WP_013204095.1	WP_067427410.1	WP_062744522.1	WP_012666656.1	WP_012440039.1
5	5	0.955	WP_013204094.1	WP_187487520.1	WP_222681892.1	WP_012666657.1	WP_012440040.1
5	5	0.761	WP_013204093.1	WP_067427416.1	WP_062744520.1	WP_012666658.1	WP_012440041.1
5	5	0.953	WP_013204092.1	WP_067427417.1	WP_062744519.1	WP_012666659.1	WP_012440042.1
5	5	0.793	WP_013204091.1	WP_067427419.1	WP_062744518.1	WP_012666660.1	WP_012440043.1
5	5	0.936	WP_013204090.1	WP_225701775.1	WP_062744544.1	WP_012666661.1	WP_012440044.1
5	5	0.927	WP_013204088.1	WP_187487523.1	WP_062744516.1	WP_012666663.1	WP_012440046.1
5	5	0.922	WP_013200246.1	WP_067434609.1	WP_062748595.1	WP_012666580.1	WP_012439977.1
5	5	0.956	WP_013200231.1	WP_067434664.1	WP_062749091.1	WP_012666564.1	WP_012439960.1
5	5	0.928	WP_013200232.1	WP_067434661.1	WP_062749089.1	WP_012666565.1	WP_012439961.1
5	5	0.918	WP_013200233.1	WP_067434659.1	WP_062749087.1	WP_004154908.1	WP_012439962.1
5	5	0.971	WP_013200234.1	WP_067434656.1	WP_222681792.1	WP_104945172.1	WP_012439963.1
5	5	0.828	WP_013200235.1	WP_225701243.1	WP_062749083.1	WP_012666567.1	WP_012439964.1
5	5	0.946	WP_013200236.1	WP_067434651.1	WP_062749081.1	WP_012666568.1	WP_012439965.1
5	5	0.934	WP_013200237.1	WP_225701244.1	WP_222681791.1	WP_104945205.1	WP_012439966.1
5	5	0.693	WP_013200238.1	WP_225701246.1	WP_240043890.1	WP_012666572.1	WP_012439969.1
5	5	0.971	WP_013200239.1	WP_225701247.1	WP_062749075.1	WP_012666573.1	WP_012439970.1
5	5	0.94	WP_013200240.1	WP_225701248.1	WP_118665018.1	WP_104945171.1	WP_012439971.1
5	5	0.789	WP_013200241.1	WP_187488343.1	WP_137270075.1	WP_012666575.1	WP_012439972.1
5	5	0.917	WP_013200242.1	WP_225701249.1	WP_062749067.1	WP_012666576.1	WP_012439973.1
5	5	0.891	WP_041691854.1	WP_225701250.1	WP_062749065.1	WP_012666577.1	WP_012439974.1
5	5	0.975	WP_013200244.1	WP_067434615.1	WP_062748591.1	WP_012666578.1	WP_012439975.1
5	5	0.95	WP_013200245.1	WP_225701251.1	WP_062748593.1	WP_012666579.1	WP_012439976.1
4	4	0.953	WP_013200178.1	WP_067426829.1	WP_062746843.1	*	WP_012439876.1
5	5	0.951	WP_013200247.1	WP_067434606.1	WP_062748597.1	WP_104945170.1	WP_012439978.1
5	5	0.941	WP_013200248.1	WP_187486613.1	WP_062748599.1	WP_104945169.1	WP_012439979.1
5	5	0.939	WP_013200250.1	WP_209501093.1	WP_118665012.1	WP_012666584.1	WP_012439981.1
5	5	0.928	WP_013200251.1	WP_067434597.1	WP_062748606.1	WP_012666585.1	WP_012439982.1
5	5	0.966	WP_013200252.1	WP_067434594.1	WP_187510498.1	WP_012666586.1	WP_012439983.1
5	5	0.927	WP_013200253.1	WP_067434591.1	WP_062748610.1	WP_012666587.1	WP_012439984.1
5	5	0.95	WP_013200254.1	WP_187488340.1	WP_062748612.1	WP_012666588.1	WP_012439985.1
5	5	0.929	WP_013200255.1	WP_067434586.1	WP_062748614.1	WP_012666589.1	WP_012439986.1
5	5	0.871	WP_041692183.1	WP_225701252.1	WP_062748619.1	WP_012666590.1	WP_012439987.1
5	5	0.939	WP_041691856.1	WP_067434574.1	WP_062748621.1	WP_012666591.1	WP_012439988.1
5	5	0.964	WP_013200259.1	WP_225701253.1	WP_222681788.1	WP_012666592.1	WP_012439989.1
5	5	0.899	WP_013200260.1	WP_187488337.1	WP_062748625.1	WP_012666593.1	WP_012439990.1
5	5	0.944	WP_013200261.1	WP_067434562.1	WP_062748627.1	WP_012666594.1	WP_012439991.1
5	5	0.914	WP_013200262.1	WP_067434559.1	WP_118665006.1	WP_012666595.1	WP_012439992.1
5	5	0.947	WP_013200263.1	WP_209501095.1	WP_062748633.1	WP_012666596.1	WP_012439993.1
5	5	0.938	WP_004160569.1	WP_067427367.1	WP_004160569.1	WP_015899095.1	WP_004160569.1
5	5	0.917	WP_034889333.1	WP_071852540.1	WP_062744083.1	WP_014539964.1	WP_004161182.1
5	5	0.948	WP_008457106.1	WP_067427333.1	WP_004160604.1	WP_004160604.1	WP_004160604.1
5	5	0.936	WP_013204134.1	WP_000617546.1	WP_062749336.1	WP_004160593.1	WP_004160593.1
5	5	0.918	WP_013204132.1	WP_004929772.1	WP_004160590.1	WP_014539651.1	WP_004160590.1
5	5	0.936	WP_013204128.1	WP_067427355.1	WP_048917634.1	WP_014539650.1	WP_004160584.1
5	5	0.917	WP_004160583.1	WP_006120590.1	WP_015960712.1	WP_014539649.1	WP_004160583.1
5	5	0.946	WP_013204126.1	WP_067427359.1	WP_013204126.1	WP_004160580.1	WP_004160580.1
5	5	0.929	WP_013204121.1	WP_067427365.1	WP_004160571.1	WP_014539647.1	WP_004160571.1
5	5	0.912	WP_013200089.1	WP_067433179.1	WP_062746964.1	WP_012666439.1	WP_004167784.1
5	5	0.917	WP_013204118.1	WP_004160566.1	WP_020322760.1	WP_004160566.1	WP_004160566.1
5	5	0.92	WP_004160563.1	WP_004160563.1	WP_004160563.1	WP_004160563.1	WP_004160563.1
5	5	0.928	WP_004160560.1	WP_067427377.1	WP_003850180.1	WP_004160560.1	WP_004160560.1
5	5	0.934	WP_013200501.1	WP_067433961.1	WP_004160104.1	WP_012666876.1	WP_004160104.1
5	5	0.945	WP_071822147.1	WP_071852545.1	WP_072166356.1	WP_004160001.1	WP_004160001.1
5	5	0.929	WP_013200641.1	WP_004389381.1	WP_013200641.1	WP_004159835.1	WP_004159835.1
5	5	0.924	WP_013203412.1	WP_067432919.1	WP_062744629.1	WP_012667371.1	WP_004159160.1
5	5	0.944	WP_013203089.1	WP_067432423.1	WP_062742953.1	WP_104945091.1	WP_004158605.1
5	5	0.933	WP_013204065.1	WP_067427473.1	WP_034890399.1	WP_004168023.1	WP_004168023.1
3	3	0.278	*	WP_225702146.1	*	WP_012814636.1	WP_012439749.1
3	3	0.692	WP_013199960.1	WP_067436554.1	*	*	WP_012439764.1
3	3	0.691	WP_013199959.1	WP_067436556.1	*	*	WP_012439765.1
5	5	0.921	WP_013200041.1	WP_067426475.1	WP_062744111.1	WP_012666393.1	WP_012439781.1
5	5	0.932	WP_013200042.1	WP_067426480.1	WP_062744112.1	WP_012666394.1	WP_012439782.1
5	5	0.974	WP_013200043.1	WP_225701207.1	WP_062744113.1	WP_012666395.1	WP_012439783.1
5	5	0.958	WP_013200044.1	WP_067426485.1	WP_222681814.1	WP_012666396.1	WP_012439784.1
5	5	0.956	WP_013200045.1	WP_187487144.1	WP_062744141.1	WP_012666397.1	WP_012439785.1
5	5	0.953	WP_013200046.1	WP_067426488.1	WP_062744115.1	WP_012666398.1	WP_012439786.1
5	5	0.841	WP_013200052.1	WP_187485172.1	WP_062744118.1	WP_012666402.1	WP_012439790.1
5	5	0.927	WP_013200053.1	WP_067435811.1	WP_062744119.1	WP_012666403.1	WP_012439791.1
5	5	0.963	WP_013200054.1	WP_067435815.1	WP_062744120.1	WP_012666404.1	WP_012439792.1
5	5	0.941	WP_013200056.1	WP_067435013.1	WP_062744123.1	WP_012666406.1	WP_012439794.1
5	5	0.935	WP_013200057.1	WP_187487148.1	WP_062744124.1	WP_012666407.1	WP_012439795.1
5	5	0.831	WP_013200296.1	WP_067434408.1	WP_048914311.1	WP_004154989.1	WP_004154989.1
5	5	0.941	WP_013204131.1	WP_067427351.1	WP_000447532.1	WP_000447532.1	WP_000447532.1
5	5	0.921	WP_000462905.1	WP_000462905.1	WP_000462905.1	WP_000462905.1	WP_000462905.1
5	5	0.918	WP_001051798.1	WP_013094893.1	WP_001051798.1	WP_001051798.1	WP_001051798.1
5	5	0.916	WP_001062678.1	WP_001062678.1	WP_001062678.1	WP_001062678.1	WP_001062678.1
5	5	0.919	WP_001144069.1	WP_001144069.1	WP_001144069.1	WP_001144069.1	WP_001144069.1
5	5	0.918	WP_001157751.1	WP_003853014.1	WP_001157751.1	WP_001157751.1	WP_001157751.1
5	5	0.916	WP_001181005.1	WP_001181005.1	WP_001181005.1	WP_001181005.1	WP_001181005.1
5	5	0.92	WP_002211347.1	WP_002211347.1	WP_002211347.1	WP_002211347.1	WP_002211347.1
5	5	0.832	WP_013200312.1	WP_067434374.1	WP_002438605.1	WP_012666645.1	WP_002438605.1
5	5	0.92	WP_002438716.1	WP_002438716.1	WP_002438716.1	WP_002438716.1	WP_002438716.1
5	5	0.925	WP_013204130.1	WP_067427353.1	WP_002919766.1	WP_002919766.1	WP_002919766.1
5	5	0.94	WP_013204567.1	WP_003849659.1	WP_003023858.1	WP_003023858.1	WP_003023858.1
5	5	0.924	WP_013204141.1	WP_013204141.1	WP_003852912.1	WP_003852912.1	WP_003852912.1
5	5	0.942	WP_004154766.1	WP_067426563.1	WP_062746976.1	WP_004154766.1	WP_004154766.1
5	5	0.933	WP_013200101.1	WP_067426617.1	WP_062746922.1	WP_004154798.1	WP_004154798.1
5	5	0.909	WP_013200058.1	WP_067426504.1	WP_062744125.1	WP_012666408.1	WP_012439796.1
5	5	0.92	WP_003855260.1	WP_003855260.1	WP_003855260.1	WP_004155044.1	WP_004155044.1
5	5	0.919	WP_013204066.1	WP_067427471.1	WP_056231094.1	WP_004155066.1	WP_004155066.1
5	5	0.93	WP_013204036.1	WP_067427523.1	WP_062744470.1	WP_004155106.1	WP_004155106.1
5	5	0.957	WP_013203542.1	WP_173645376.1	WP_062744199.1	WP_012669058.1	WP_004155832.1
5	5	0.922	WP_004155916.1	WP_067433158.1	WP_004155916.1	WP_004155916.1	WP_004155916.1
5	5	0.928	WP_013203478.1	WP_067433118.1	WP_062744149.1	WP_004155959.1	WP_004155959.1
5	5	0.906	WP_013201031.1	WP_067428392.1	WP_062747763.1	WP_012668889.1	WP_004156287.1
5	5	0.93	WP_004156612.1	WP_067428606.1	WP_004156612.1	WP_004156612.1	WP_004156612.1
5	5	0.916	WP_013201514.1	WP_006118610.1	WP_006118610.1	WP_004156893.1	WP_004156893.1
5	5	0.916	WP_013201675.1	WP_067429617.1	WP_003849870.1	WP_004157101.1	WP_004157101.1
5	5	0.952	WP_013201680.1	WP_067429632.1	WP_004157115.1	WP_004157115.1	WP_004157115.1
5	5	0.915	WP_004157374.1	WP_004157374.1	WP_005968897.1	WP_004157374.1	WP_004157374.1
5	5	0.917	WP_004157378.1	WP_017802142.1	WP_017802142.1	WP_012668224.1	WP_004157378.1
5	5	0.914	WP_013201929.1	WP_052898670.1	WP_034895178.1	WP_004157411.1	WP_004157411.1
5	5	0.934	WP_013203085.1	WP_067432410.1	WP_048915455.1	WP_004158594.1	WP_004158594.1
5	5	0.891	WP_013200122.1	WP_225701186.1	WP_222681799.1	WP_012666485.1	WP_012439859.1
5	5	0.949	WP_041691838.1	WP_067426609.1	WP_062746929.1	WP_041473961.1	WP_012439838.1
5	5	0.959	WP_013200099.1	WP_225701193.1	WP_222682351.1	WP_187298277.1	WP_012439839.1
5	5	0.738	WP_013200100.1	WP_225701192.1	WP_062746925.1	WP_012666467.1	WP_012439840.1
5	5	0.981	WP_013200102.1	WP_067426621.1	WP_062746920.1	WP_012666468.1	WP_012439841.1
5	5	0.933	WP_013200103.1	WP_067426624.1	WP_062746918.1	WP_012666469.1	WP_012439842.1
5	5	0.898	WP_013200104.1	WP_225701191.1	WP_118665096.1	WP_012666470.1	WP_012439843.1
5	5	0.965	WP_041691839.1	WP_225701190.1	WP_222682350.1	WP_012666471.1	WP_012439844.1
5	5	0.534	WP_041692173.1	WP_225701780.1	WP_062746907.1	WP_104945177.1	WP_012439847.1
5	5	0.76	WP_013200106.1	WP_209500954.1	WP_191928190.1	WP_012666474.1	WP_012439848.1
5	5	0.694	WP_041692172.1	WP_187488629.1	WP_222681805.1	WP_012666475.1	WP_012439849.1
5	5	0.849	WP_013200111.1	WP_067426644.1	WP_222681804.1	WP_012666476.1	WP_012439850.1
5	5	0.203	WP_173363012.1	WP_187486841.1	WP_222681806.1	WP_012666478.1	WP_012439852.1
5	5	0.947	WP_041691841.1	WP_067426651.1	WP_118665074.1	WP_012666481.1	WP_012439855.1
5	5	0.963	WP_013200115.1	WP_067426654.1	WP_062746891.1	WP_012666482.1	WP_012439856.1
5	5	0.973	WP_013200116.1	WP_067426657.1	WP_118665070.1	WP_012666483.1	WP_012439857.1
5	5	0.956	WP_013200097.1	WP_187486847.1	WP_062746931.1	WP_012666464.1	WP_012439837.1
5	5	0.952	WP_013200123.1	WP_067426670.1	WP_062746883.1	WP_012666486.1	WP_012439860.1
4	4	0.905	*	WP_067426673.1	WP_062746881.1	WP_012666487.1	WP_012439861.1
5	5	0.959	WP_013200124.1	WP_067426676.1	WP_062746879.1	WP_012666488.1	WP_012439862.1
5	5	0.944	WP_013200125.1	WP_187486835.1	WP_062746877.1	WP_012666489.1	WP_012439863.1
5	5	0.949	WP_013200126.1	WP_187486834.1	WP_062746875.1	WP_012666490.1	WP_012439864.1
5	5	0.924	WP_013200127.1	WP_187486833.1	WP_062746873.1	WP_012666491.1	WP_012439865.1
5	5	0.952	WP_013200128.1	WP_187486832.1	WP_062746871.1	WP_012666492.1	WP_012439866.1
5	5	0.929	WP_013200129.1	WP_067426689.1	WP_062746869.1	WP_012666493.1	WP_012439867.1
5	5	0.724	WP_013200130.1	WP_225701185.1	WP_062746866.1	WP_012666494.1	WP_012439868.1
5	5	0.937	WP_013200168.1	WP_067426696.1	WP_118665064.1	WP_012666495.1	WP_012439869.1
5	5	0.922	WP_013200169.1	WP_067426698.1	WP_062746860.1	WP_012666496.1	WP_012439870.1
5	5	0.938	WP_013200170.1	WP_067426701.1	WP_062746858.1	WP_012666497.1	WP_012439871.1
5	5	0.912	WP_013200172.1	WP_225701176.1	WP_062747028.1	WP_012666499.1	WP_012439873.1
5	5	0.828	WP_013200175.1	WP_225701174.1	WP_222681798.1	WP_012666511.1	WP_012439874.1
4	4	0.861	WP_013200177.1	WP_067426825.1	WP_062746845.1	*	WP_012439875.1
5	5	0.886	WP_013200075.1	WP_187488616.1	WP_062746994.1	WP_012666425.1	WP_012439813.1
5	5	0.903	WP_013200059.1	WP_187487149.1	WP_222681812.1	WP_012666409.1	WP_012439797.1
5	5	0.959	WP_013200060.1	WP_187487152.1	WP_062744144.1	WP_014538410.1	WP_012439798.1
5	5	0.944	WP_013200061.1	WP_225701205.1	WP_187510228.1	WP_104945178.1	WP_012439799.1
5	5	0.623	WP_013200062.1	WP_225701203.1	WP_222681811.1	WP_012666412.1	WP_012439800.1
4	4	0.8	WP_013200063.1	WP_225701202.1	WP_222681810.1	*	WP_012439801.1
5	5	0.936	WP_013200064.1	WP_225701201.1	WP_062747016.1	WP_012666413.1	WP_012439802.1
5	5	0.943	WP_013200065.1	WP_067435017.1	WP_062747013.1	WP_012666414.1	WP_012439803.1
5	5	0.977	WP_013200066.1	WP_209500974.1	WP_191928199.1	WP_012666416.1	WP_012439804.1
5	5	0.856	WP_013200068.1	WP_067426528.1	WP_062747005.1	WP_012666418.1	WP_012439806.1
5	5	0.914	WP_041692170.1	WP_225701783.1	WP_187510346.1	WP_012666419.1	WP_012439807.1
5	5	0.925	WP_013200070.1	WP_067426529.1	WP_062747003.1	WP_012666420.1	WP_012439808.1
5	5	0.935	WP_013200071.1	WP_067426532.1	WP_062747002.1	WP_012666421.1	WP_012439809.1
5	5	0.932	WP_013200072.1	WP_067426535.1	WP_062747000.1	WP_012666422.1	WP_012439810.1
5	5	0.94	WP_013200073.1	WP_209500973.1	WP_062746998.1	WP_012666423.1	WP_012439811.1
5	5	0.921	WP_013200074.1	WP_225701200.1	WP_062746996.1	WP_012666424.1	WP_012439812.1
5	5	0.63	WP_013202248.1	WP_225701360.1	WP_222681893.1	WP_012666664.1	WP_012440047.1
5	5	0.921	WP_013200076.1	WP_225701199.1	WP_062746993.1	WP_012666426.1	WP_012439814.1
5	5	0.924	WP_013200078.1	WP_209500993.1	WP_062746988.1	WP_012666428.1	WP_012439816.1
5	5	0.938	WP_013200080.1	WP_209500971.1	WP_062746985.1	WP_012666430.1	WP_012439818.1
5	5	0.947	WP_013200082.1	WP_187488618.1	WP_222681809.1	WP_012666431.1	WP_012439819.1
5	5	0.975	WP_013200083.1	WP_225701197.1	WP_062746979.1	WP_012666432.1	WP_012439820.1
5	5	0.94	WP_013200084.1	WP_067426561.1	WP_062746978.1	WP_012666433.1	WP_012439821.1
5	5	0.936	WP_013200085.1	WP_067426565.1	WP_062746974.1	WP_012666434.1	WP_012439822.1
5	5	0.707	WP_013200086.1	WP_225701196.1	WP_118665112.1	WP_012666435.1	WP_012439823.1
5	5	0.931	WP_013200087.1	WP_067426569.1	WP_062746971.1	WP_012666436.1	WP_012439824.1
5	5	0.715	WP_013200936.1	WP_225702013.1	WP_118665110.1	WP_012666438.1	WP_012439826.1
5	5	0.964	WP_013200092.1	WP_067426587.1	WP_062746939.1	WP_012666459.1	WP_012439832.1
5	5	0.798	WP_013200093.1	WP_225701781.1	WP_062746937.1	WP_012666460.1	WP_012439833.1
5	5	0.955	WP_013200094.1	WP_187488624.1	WP_062746936.1	WP_012666461.1	WP_012439834.1
5	5	0.925	WP_013200095.1	WP_067426597.1	WP_062746934.1	WP_012666462.1	WP_012439835.1
5	5	0.948	WP_013200096.1	WP_067426602.1	WP_062747037.1	WP_012666463.1	WP_012439836.1
2	2	1	*	WP_067427873.1	*	*	WP_012440455.1
5	5	0.948	WP_013200716.1	WP_067427890.1	WP_118664654.1	WP_012667062.1	WP_012440467.1
5	5	0.947	WP_013200715.1	WP_187485845.1	WP_062747459.1	WP_012667061.1	WP_012440466.1
5	5	0.956	WP_013200714.1	WP_225701007.1	WP_062747455.1	WP_012667060.1	WP_012440464.1
5	5	0.938	WP_041691899.1	WP_067427884.1	WP_062747453.1	WP_014538589.1	WP_012440463.1
5	5	0.966	WP_013200712.1	WP_067427879.1	WP_062747451.1	WP_012667058.1	WP_012440462.1
5	5	0.953	WP_013200710.1	WP_225701008.1	WP_062747447.1	WP_012667056.1	WP_012440460.1
5	5	0.932	WP_013200709.1	WP_067427875.1	WP_062747445.1	WP_012667055.1	WP_012440459.1
5	5	0.929	WP_013200708.1	WP_067427874.1	WP_048914793.1	WP_004159769.1	WP_012440458.1
5	5	0.979	WP_013200724.1	WP_067435122.1	WP_191927756.1	WP_187298260.1	WP_012440469.1
5	5	0.913	WP_013200705.1	WP_067435119.1	WP_062747439.1	WP_012667052.1	WP_012440454.1
5	5	0.915	WP_013200704.1	WP_225701009.1	WP_062747437.1	WP_104945127.1	WP_012440453.1
5	5	0.943	WP_013200701.1	WP_187485841.1	WP_118664664.1	WP_104945130.1	WP_012440451.1
5	5	0.945	WP_013200700.1	WP_067427867.1	WP_062747427.1	WP_012667047.1	WP_012440450.1
5	5	0.929	WP_013200699.1	WP_225701010.1	WP_062747424.1	WP_104945131.1	WP_012440449.1
5	5	0.95	WP_013200698.1	WP_225701011.1	WP_062747420.1	WP_012667045.1	WP_012440448.1
5	5	0.939	WP_013200697.1	WP_067427861.1	WP_137269050.1	WP_014542227.1	WP_012440447.1
5	5	0.955	WP_013200696.1	WP_187485837.1	WP_137269049.1	WP_104945132.1	WP_012440446.1
5	5	0.892	WP_013200725.1	WP_067427894.1	WP_062747467.1	WP_012667065.1	WP_012440470.1
5	5	0.95	WP_013200726.1	WP_225701005.1	WP_062747469.1	WP_012667066.1	WP_012440471.1
5	5	0.977	WP_013200727.1	WP_067427897.1	WP_062747471.1	WP_012667067.1	WP_012440472.1
5	5	0.932	WP_013200728.1	WP_225701004.1	WP_062747473.1	WP_012667068.1	WP_012440473.1
5	5	0.956	WP_013200729.1	WP_067427899.1	WP_062747475.1	WP_012667069.1	WP_012440474.1
5	5	0.953	WP_013200731.1	WP_067427903.1	WP_062747480.1	WP_012667071.1	WP_012440476.1
5	5	0.958	WP_013200732.1	WP_225701769.1	WP_118664648.1	WP_012667072.1	WP_012440477.1
5	5	0.977	WP_013200733.1	WP_187485851.1	WP_118664647.1	WP_012667073.1	WP_012440478.1
5	5	0.977	WP_013200734.1	WP_225701002.1	WP_191927758.1	WP_012667074.1	WP_012440479.1
5	5	0.924	WP_013200735.1	WP_225701001.1	WP_222681691.1	WP_012667075.1	WP_012440480.1
5	5	0.896	WP_041691902.1	WP_187485854.1	WP_118664644.1	WP_014538596.1	WP_012440481.1
5	5	0.941	WP_041691903.1	WP_225701000.1	WP_222681690.1	WP_014538597.1	WP_012440482.1
5	5	0.956	WP_013200737.1	WP_067427924.1	WP_187509305.1	WP_012667078.1	WP_012440483.1
5	5	0.935	WP_013200738.1	WP_187485856.1	WP_062747496.1	WP_012667080.1	WP_012440485.1
5	5	0.915	WP_013200739.1	WP_067427926.1	WP_062747498.1	WP_012667081.1	WP_012440486.1
5	5	0.947	WP_013200652.1	WP_187485823.1	WP_062747365.1	WP_012667027.1	WP_012440422.1
5	5	0.813	WP_013200606.1	WP_225701023.1	WP_137269102.1	WP_012666968.1	WP_012440353.1
5	5	0.961	WP_013200608.1	WP_187485818.1	WP_062747325.1	WP_012666970.1	WP_012440355.1
5	5	0.739	WP_013200609.1	WP_187487579.1	WP_222681699.1	WP_041474086.1	WP_012440356.1
5	5	0.953	WP_041691887.1	WP_067427787.1	WP_062747329.1	WP_012666972.1	WP_012440357.1
5	5	0.962	WP_013200611.1	WP_067427789.1	WP_062747331.1	WP_012666973.1	WP_012440358.1
5	5	0.946	WP_013200639.1	WP_209500601.1	WP_062747338.1	WP_012667015.1	WP_012440410.1
5	5	0.954	WP_013200640.1	WP_067427793.1	WP_062747340.1	WP_012667016.1	WP_012440411.1
5	5	0.884	WP_013200643.1	WP_225701022.1	WP_118664710.1	WP_012667018.1	WP_012440413.1
5	5	0.945	WP_013200644.1	WP_067427799.1	WP_191934227.1	WP_012667019.1	WP_012440414.1
5	5	0.933	WP_013200645.1	WP_187485820.1	WP_222681698.1	WP_012667020.1	WP_012440415.1
5	5	0.938	WP_013200646.1	WP_067427805.1	WP_062747353.1	WP_012667021.1	WP_012440416.1
5	5	0.923	WP_013200647.1	WP_067427806.1	WP_062747355.1	WP_012667022.1	WP_012440417.1
5	5	0.956	WP_013200649.1	WP_187487582.1	WP_062747359.1	WP_012667024.1	WP_012440419.1
5	5	0.965	WP_013200650.1	WP_209500597.1	WP_062747361.1	WP_012667025.1	WP_012440420.1
5	5	0.948	WP_013200651.1	WP_067427812.1	WP_062747363.1	WP_012667026.1	WP_012440421.1
5	5	0.897	WP_013200740.1	WP_187485857.1	WP_118664640.1	WP_012667082.1	WP_012440487.1
5	5	0.913	WP_013200653.1	WP_067427814.1	WP_118664702.1	WP_012667030.1	WP_012440425.1
5	5	0.939	WP_013200655.1	WP_225701021.1	WP_062747373.1	WP_012667032.1	WP_012440427.1
4	4	0.931	WP_013200657.1	WP_225701020.1	WP_222681697.1	*	WP_012440429.1
4	4	0.922	WP_013200669.1	WP_067427826.1	WP_062747381.1	*	WP_012440430.1
4	4	0.945	WP_013200670.1	WP_225701017.1	WP_062747383.1	*	WP_012440431.1
4	4	0.943	WP_013200671.1	WP_225701016.1	WP_191927748.1	*	WP_012440432.1
4	4	0.932	WP_013200672.1	WP_209500591.1	WP_118665875.1	*	WP_012440433.1
4	4	0.945	WP_013200673.1	WP_209500589.1	WP_062747389.1	*	WP_012440434.1
4	4	0.941	WP_013200675.1	WP_225701015.1	WP_222681695.1	*	WP_012440436.1
4	4	0.934	WP_013200676.1	WP_225701014.1	WP_062747395.1	*	WP_012440437.1
5	5	0.944	WP_041691896.1	WP_067427846.1	WP_062747399.1	WP_014538579.1	WP_012440439.1
5	5	0.919	WP_013200690.1	WP_067427847.1	WP_062747402.1	WP_012667037.1	WP_012440440.1
5	5	0.952	WP_013200691.1	WP_067427849.1	WP_062747404.1	WP_012667038.1	WP_012440441.1
5	5	0.928	WP_013200692.1	WP_067427850.1	WP_118664684.1	WP_012667040.1	WP_012440442.1
5	5	0.922	WP_013200694.1	WP_067427854.1	WP_062747410.1	WP_014542229.1	WP_012440444.1
5	5	0.934	WP_013200781.1	WP_225700992.1	WP_062747229.1	WP_104945123.1	WP_012440560.1
5	5	0.935	WP_013202003.1	WP_067431555.1	WP_118666219.1	WP_012814649.1	WP_012440527.1
3	3	0.402	*	WP_157883842.1	*	WP_012667126.1	WP_012440542.1
5	5	0.881	WP_013200767.1	WP_187487610.1	WP_137269060.1	WP_012667127.1	WP_012440543.1
5	5	0.806	WP_013200768.1	WP_067427977.1	WP_062747273.1	WP_012667128.1	WP_012440544.1
5	5	0.965	WP_013200769.1	WP_209500552.1	WP_062747271.1	WP_012667129.1	WP_012440545.1
5	5	0.889	WP_013200770.1	WP_187487611.1	WP_062747268.1	WP_012667130.1	WP_012440546.1
4	4	0.952	WP_013200771.1	WP_225700995.1	WP_222681688.1	*	WP_012440547.1
5	5	0.748	WP_013200772.1	WP_067427984.1	WP_118664629.1	WP_012667132.1	WP_012440548.1
5	5	0.83	WP_157868051.1	WP_225700994.1	WP_062747261.1	WP_012667133.1	WP_012440549.1
5	5	0.861	WP_013200774.1	WP_067427988.1	WP_062747258.1	WP_012667134.1	WP_012440550.1
5	5	0.899	WP_013200775.1	WP_225700993.1	WP_222681687.1	WP_012667135.1	WP_012440551.1
5	5	0.932	WP_013200778.1	WP_067427991.1	WP_222681686.1	WP_012667136.1	WP_012440554.1
5	5	0.97	WP_013200779.1	WP_067427993.1	WP_062747235.1	WP_012667137.1	WP_012440555.1
5	5	0.874	WP_041691906.1	WP_187485871.1	WP_062747233.1	WP_012667140.1	WP_012440558.1
5	5	0.963	WP_013200780.1	WP_067427996.1	WP_062747231.1	WP_012667141.1	WP_012440559.1
5	5	0.755	WP_013202275.1	WP_187487069.1	WP_062748848.1	WP_012814642.1	WP_012440526.1
5	5	0.858	WP_013200782.1	WP_067427998.1	WP_062747226.1	WP_012667143.1	WP_012440561.1
5	5	0.936	WP_013200783.1	WP_225700991.1	WP_062747223.1	WP_012667145.1	WP_012440562.1
5	5	0.775	WP_013200784.1	WP_225700990.1	WP_222681685.1	WP_012667146.1	WP_012440563.1
5	5	0.944	WP_013200785.1	WP_067435126.1	WP_062747219.1	WP_012667147.1	WP_012440564.1
5	5	0.938	WP_013200786.1	WP_071852549.1	WP_072277473.1	WP_012667172.1	WP_012440576.1
5	5	0.911	WP_013200795.1	WP_225700985.1	WP_222681679.1	WP_012667173.1	WP_012440577.1
5	5	0.906	WP_013200806.1	WP_067428024.1	WP_062747316.1	WP_012667174.1	WP_012440578.1
5	5	0.95	WP_013200807.1	WP_225700984.1	WP_062747189.1	WP_012667175.1	WP_012440579.1
5	5	0.897	WP_013200808.1	WP_067428028.1	WP_062747186.1	WP_012667176.1	WP_012440580.1
5	5	0.915	WP_013200809.1	WP_225700983.1	WP_222682339.1	WP_012667177.1	WP_012440581.1
5	5	0.902	WP_013200811.1	WP_209500524.1	WP_062747181.1	WP_012667188.1	WP_012440598.1
